B01003_001E,NAME,GEOID,metropolitan statistical area/micropolitan statistical area
49231,"Cortland, NY Micro Area",31000US18660,18660
86034,"Corvallis, OR Metro Area",31000US18700,18700
36768,"Coshocton, OH Micro Area",31000US18740,18740
13286,"Craig, CO Micro Area",31000US18780,18780
38183,"Crawfordsville, IN Micro Area",31000US18820,18820
28066,"Crescent City, CA Micro Area",31000US18860,18860
246805,"Crestview-Fort Walton Beach-Destin, FL Metro Area",31000US18880,18880
57064,"Crossville, TN Micro Area",31000US18900,18900
80668,"Cullman, AL Micro Area",31000US18980,18980
40598,"Cullowhee, NC Micro Area",31000US19000,19000
101888,"Cumberland, MD-WV Metro Area",31000US19060,19060
6703020,"Dallas-Fort Worth-Arlington, TX Metro Area",31000US19100,19100
142548,"Dalton, GA Metro Area",31000US19140,19140
80773,"Danville, IL Metro Area",31000US19180,19180
53696,"Danville, KY Micro Area",31000US19220,19220
105659,"Danville, VA Micro Area",31000US19260,19260
191205,"Daphne-Fairhope-Foley, AL Metro Area",31000US19300,19300
381913,"Davenport-Moline-Rock Island, IA-IL Metro Area",31000US19340,19340
801259,"Dayton, OH Metro Area",31000US19380,19380
32272,"Dayton, TN Micro Area",31000US19420,19420
153579,"Decatur, AL Metro Area",31000US19460,19460
109833,"Decatur, IL Metro Area",31000US19500,19500
34533,"Decatur, IN Micro Area",31000US19540,19540
38795,"Defiance, OH Micro Area",31000US19580,19580
48999,"Del Rio, TX Micro Area",31000US19620,19620
597824,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",31000US19660,19660
24947,"Deming, NM Micro Area",31000US19700,19700
2651392,"Denver-Aurora-Lakewood, CO Metro Area",31000US19740,19740
36109,"DeRidder, LA Micro Area",31000US19760,19760
590741,"Des Moines-West Des Moines, IA Metro Area",31000US19780,19780
4292647,"Detroit-Warren-Dearborn, MI Metro Area",31000US19820,19820
27038,"Dickinson, ND Micro Area",31000US19860,19860
35248,"Dixon, IL Micro Area",31000US19940,19940
34604,"Dodge City, KS Micro Area",31000US19980,19980
147165,"Dothan, AL Metro Area",31000US20020,20020
42947,"Douglas, GA Micro Area",31000US20060,20060
167477,"Dover, DE Metro Area",31000US20100,20100
57878,"Dublin, GA Micro Area",31000US20140,20140
81472,"DuBois, PA Micro Area",31000US20180,20180
95166,"Dubuque, IA Metro Area",31000US20220,20220
279894,"Duluth, MN-WI Metro Area",31000US20260,20260
22172,"Dumas, TX Micro Area",31000US20300,20300
44900,"Duncan, OK Micro Area",31000US20340,20340
121789,"Dunn, NC Micro Area",31000US20380,20380
52547,"Durango, CO Micro Area",31000US20420,20420
43595,"Durant, OK Micro Area",31000US20460,20460
525050,"Durham-Chapel Hill, NC Metro Area",31000US20500,20500
38156,"Dyersburg, TN Micro Area",31000US20540,20540
55821,"Eagle Pass, TX Micro Area",31000US20580,20580
37894,"Easton, MD Micro Area",31000US20660,20660
168342,"East Stroudsburg, PA Metro Area",31000US20700,20700
163658,"Eau Claire, WI Metro Area",31000US20740,20740
52233,"Edwards, CO Micro Area",31000US20780,20780
34280,"Effingham, IL Micro Area",31000US20820,20820
41219,"El Campo, TX Micro Area",31000US20900,20900
177026,"El Centro, CA Metro Area",31000US20940,20940
40954,"El Dorado, AR Micro Area",31000US20980,20980
63867,"Elizabeth City, NC Micro Area",31000US21020,21020
150917,"Elizabethtown-Fort Knox, KY Metro Area",31000US21060,21060
22941,"Elk City, OK Micro Area",31000US21120,21120
199544,"Elkhart-Goshen, IN Metro Area",31000US21140,21140
29446,"Elkins, WV Micro Area",31000US21180,21180
52752,"Elko, NV Micro Area",31000US21220,21220
41705,"Ellensburg, WA Micro Area",31000US21260,21260
88681,"Elmira, NY Metro Area",31000US21300,21300
827206,"El Paso, TX Metro Area",31000US21340,21340
33510,"Emporia, KS Micro Area",31000US21380,21380
61663,"Enid, OK Micro Area",31000US21420,21420
50726,"Enterprise, AL Micro Area",31000US21460,21460
280132,"Erie, PA Metro Area",31000US21500,21500
36841,"Escanaba, MI Micro Area",31000US21540,21540
40155,"Española, NM Micro Area",31000US21580,21580
354764,"Eugene, OR Metro Area",31000US21660,21660
134876,"Eureka-Arcata-Fortuna, CA Micro Area",31000US21700,21700
20989,"Evanston, WY Micro Area",31000US21740,21740
313450,"Evansville, IN-KY Metro Area",31000US21780,21780
99319,"Fairbanks, AK Metro Area",31000US21820,21820
17102,"Fairfield, IA Micro Area",31000US21840,21840
56698,"Fairmont, WV Micro Area",31000US21900,21900
24347,"Fallon, NV Micro Area",31000US21980,21980
218290,"Fargo, ND-MN Metro Area",31000US22020,22020
64829,"Faribault-Northfield, MN Micro Area",31000US22060,22060
65813,"Farmington, MO Micro Area",31000US22100,22100
127358,"Farmington, NM Metro Area",31000US22140,22140
374036,"Fayetteville, NC Metro Area",31000US22180,22180
483396,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",31000US22220,22220
57417,"Fergus Falls, MN Micro Area",31000US22260,22260
51579,"Fernley, NV Micro Area",31000US22280,22280
75290,"Findlay, OH Micro Area",31000US22300,22300
17547,"Fitzgerald, GA Micro Area",31000US22340,22340
135817,"Flagstaff, AZ Metro Area",31000US22380,22380
418654,"Flint, MI Metro Area",31000US22420,22420
206219,"Florence, SC Metro Area",31000US22500,22500
147271,"Florence-Muscle Shoals, AL Metro Area",31000US22520,22520
101709,"Fond du Lac, WI Metro Area",31000US22540,22540
67181,"Forest City, NC Micro Area",31000US22580,22580
27642,"Forrest City, AR Micro Area",31000US22620,22620
311435,"Fort Collins, CO Metro Area",31000US22660,22660
37399,"Fort Dodge, IA Micro Area",31000US22700,22700
53343,"Fort Leonard Wood, MO Micro Area",31000US22780,22780
61361,"Fort Madison-Keokuk, IA-IL-MO Micro Area",31000US22800,22800
28342,"Fort Morgan, CO Micro Area",31000US22820,22820
52844,"Fort Polk South, LA Micro Area",31000US22860,22860
280394,"Fort Smith, AR-OK Metro Area",31000US22900,22900
422029,"Fort Wayne, IN Metro Area",31000US23060,23060
32987,"Frankfort, IN Micro Area",31000US23140,23140
71173,"Frankfort, KY Micro Area",31000US23180,23180
25179,"Fredericksburg, TX Micro Area",31000US23240,23240
47053,"Freeport, IL Micro Area",31000US23300,23300
36742,"Fremont, NE Micro Area",31000US23340,23340
60498,"Fremont, OH Micro Area",31000US23380,23380
948844,"Fresno, CA Metro Area",31000US23420,23420
104126,"Gadsden, AL Metro Area",31000US23460,23460
55707,"Gaffney, SC Micro Area",31000US23500,23500
268707,"Gainesville, FL Metro Area",31000US23540,23540
185318,"Gainesville, GA Metro Area",31000US23580,23580
38558,"Gainesville, TX Micro Area",31000US23620,23620
52447,"Galesburg, IL Micro Area",31000US23660,23660
73082,"Gallup, NM Micro Area",31000US23700,23700
41049,"Garden City, KS Micro Area",31000US23780,23780
47135,"Gardnerville Ranchos, NV Micro Area",31000US23820,23820
60389,"Georgetown, SC Micro Area",31000US23860,23860
101566,"Gettysburg, PA Metro Area",31000US23900,23900
47448,"Gillette, WY Micro Area",31000US23940,23940
52716,"Glasgow, KY Micro Area",31000US23980,23980
128298,"Glens Falls, NY Metro Area",31000US24020,24020
73987,"Glenwood Springs, CO Micro Area",31000US24060,24060
54870,"Gloversville, NY Micro Area",31000US24100,24100
124093,"Goldsboro, NC Metro Area",31000US24140,24140
99774,"Grand Forks, ND-MN Metro Area",31000US24220,24220
83426,"Grand Island, NE Metro Area",31000US24260,24260
147509,"Grand Junction, CO Metro Area",31000US24300,24300
1007329,"Grand Rapids-Wyoming, MI Metro Area",31000US24340,24340
27392,"Grants, NM Micro Area",31000US24380,24380
83021,"Grants Pass, OR Metro Area",31000US24420,24420
27566,"Great Bend, KS Micro Area",31000US24460,24460
81953,"Great Falls, MT Metro Area",31000US24500,24500
265066,"Greeley, CO Metro Area",31000US24540,24540
310726,"Green Bay, WI Metro Area",31000US24580,24580
68596,"Greeneville, TN Micro Area",31000US24620,24620
71300,"Greenfield Town, MA Micro Area",31000US24640,24640
735777,"Greensboro-High Point, NC Metro Area",31000US24660,24660
26112,"Greensburg, IN Micro Area",31000US24700,24700
50038,"Greenville, MS Micro Area",31000US24740,24740
172438,"Greenville, NC Metro Area",31000US24780,24780
52537,"Greenville, OH Micro Area",31000US24820,24820
842817,"Greenville-Anderson-Mauldin, SC Metro Area",31000US24860,24860
42190,"Greenwood, MS Micro Area",31000US24900,24900
94808,"Greenwood, SC Micro Area",31000US24940,24940
21660,"Grenada, MS Micro Area",31000US24980,24980
378972,"Gulfport-Biloxi-Pascagoula, MS Metro Area",31000US25060,25060
21495,"Guymon, OK Micro Area",31000US25100,25100
256237,"Hagerstown-Martinsburg, MD-WV Metro Area",31000US25180,25180
27671,"Hailey, ID Micro Area",31000US25200,25200
124125,"Hammond, LA Metro Area",31000US25220,25220
151390,"Hanford-Corcoran, CA Metro Area",31000US25260,25260
39068,"Hannibal, MO Micro Area",31000US25300,25300
555154,"Harrisburg-Carlisle, PA Metro Area",31000US25420,25420
