B01003_001E,NAME,GEOID,state,congressional district
709685,"Congressional District 10 (114th Congress), Michigan",50000US2610,26,10
714349,"Congressional District 11 (114th Congress), Michigan",50000US2611,26,11
704504,"Congressional District 12 (114th Congress), Michigan",50000US2612,26,12
690748,"Congressional District 13 (114th Congress), Michigan",50000US2613,26,13
695069,"Congressional District 14 (114th Congress), Michigan",50000US2614,26,14
667238,"Congressional District 1 (114th Congress), Minnesota",50000US2701,27,01
681358,"Congressional District 2 (114th Congress), Minnesota",50000US2702,27,02
688465,"Congressional District 3 (114th Congress), Minnesota",50000US2703,27,03
687656,"Congressional District 4 (114th Congress), Minnesota",50000US2704,27,04
687435,"Congressional District 5 (114th Congress), Minnesota",50000US2705,27,05
681284,"Congressional District 6 (114th Congress), Minnesota",50000US2706,27,06
663049,"Congressional District 7 (114th Congress), Minnesota",50000US2707,27,07
662686,"Congressional District 8 (114th Congress), Minnesota",50000US2708,27,08
744066,"Congressional District 1 (114th Congress), Missouri",50000US2901,29,01
757785,"Congressional District 2 (114th Congress), Missouri",50000US2902,29,02
763567,"Congressional District 3 (114th Congress), Missouri",50000US2903,29,03
758907,"Congressional District 4 (114th Congress), Missouri",50000US2904,29,04
754804,"Congressional District 5 (114th Congress), Missouri",50000US2905,29,05
757302,"Congressional District 6 (114th Congress), Missouri",50000US2906,29,06
761206,"Congressional District 7 (114th Congress), Missouri",50000US2907,29,07
747811,"Congressional District 8 (114th Congress), Missouri",50000US2908,29,08
752701,"Congressional District 1 (114th Congress), Mississippi",50000US2801,28,01
729410,"Congressional District 2 (114th Congress), Mississippi",50000US2802,28,02
748654,"Congressional District 3 (114th Congress), Mississippi",50000US2803,28,03
757316,"Congressional District 4 (114th Congress), Mississippi",50000US2804,28,04
1014699,"Congressional District (at Large) (114th Congress), Montana",50000US3000,30,00
729228,"Congressional District 1 (114th Congress), North Carolina",50000US3701,37,01
773870,"Congressional District 2 (114th Congress), North Carolina",50000US3702,37,02
753337,"Congressional District 3 (114th Congress), North Carolina",50000US3703,37,03
774527,"Congressional District 4 (114th Congress), North Carolina",50000US3704,37,04
746472,"Congressional District 5 (114th Congress), North Carolina",50000US3705,37,05
751215,"Congressional District 6 (114th Congress), North Carolina",50000US3706,37,06
762894,"Congressional District 7 (114th Congress), North Carolina",50000US3707,37,07
742467,"Congressional District 8 (114th Congress), North Carolina",50000US3708,37,08
786999,"Congressional District 9 (114th Congress), North Carolina",50000US3709,37,09
740474,"Congressional District 10 (114th Congress), North Carolina",50000US3710,37,10
740031,"Congressional District 11 (114th Congress), North Carolina",50000US3711,37,11
771401,"Congressional District 12 (114th Congress), North Carolina",50000US3712,37,12
772418,"Congressional District 13 (114th Congress), North Carolina",50000US3713,37,13
721640,"Congressional District (at Large) (114th Congress), North Dakota",50000US3800,38,00
627284,"Congressional District 1 (114th Congress), Nebraska",50000US3101,31,01
634595,"Congressional District 2 (114th Congress), Nebraska",50000US3102,31,02
607486,"Congressional District 3 (114th Congress), Nebraska",50000US3103,31,03
665132,"Congressional District 1 (114th Congress), New Hampshire",50000US3301,33,01
659069,"Congressional District 2 (114th Congress), New Hampshire",50000US3302,33,02
731683,"Congressional District 1 (114th Congress), New Jersey",50000US3401,34,01
732697,"Congressional District 2 (114th Congress), New Jersey",50000US3402,34,02
736043,"Congressional District 3 (114th Congress), New Jersey",50000US3403,34,03
738191,"Congressional District 4 (114th Congress), New Jersey",50000US3404,34,04
741254,"Congressional District 5 (114th Congress), New Jersey",50000US3405,34,05
743854,"Congressional District 6 (114th Congress), New Jersey",50000US3406,34,06
740850,"Congressional District 7 (114th Congress), New Jersey",50000US3407,34,07
762276,"Congressional District 8 (114th Congress), New Jersey",50000US3408,34,08
749137,"Congressional District 9 (114th Congress), New Jersey",50000US3409,34,09
738622,"Congressional District 10 (114th Congress), New Jersey",50000US3410,34,10
741282,"Congressional District 11 (114th Congress), New Jersey",50000US3411,34,11
748524,"Congressional District 12 (114th Congress), New Jersey",50000US3412,34,12
693273,"Congressional District 1 (114th Congress), New Mexico",50000US3501,35,01
699589,"Congressional District 2 (114th Congress), New Mexico",50000US3502,35,02
691255,"Congressional District 3 (114th Congress), New Mexico",50000US3503,35,03
675450,"Congressional District 1 (114th Congress), Nevada",50000US3201,32,01
690426,"Congressional District 2 (114th Congress), Nevada",50000US3202,32,02
723741,"Congressional District 3 (114th Congress), Nevada",50000US3203,32,03
709019,"Congressional District 4 (114th Congress), Nevada",50000US3204,32,04
723323,"Congressional District 1 (114th Congress), New York",50000US3601,36,01
723479,"Congressional District 2 (114th Congress), New York",50000US3602,36,02
723457,"Congressional District 3 (114th Congress), New York",50000US3603,36,03
721286,"Congressional District 4 (114th Congress), New York",50000US3604,36,04
765409,"Congressional District 5 (114th Congress), New York",50000US3605,36,05
727625,"Congressional District 6 (114th Congress), New York",50000US3606,36,06
745005,"Congressional District 7 (114th Congress), New York",50000US3607,36,07
744271,"Congressional District 8 (114th Congress), New York",50000US3608,36,08
740868,"Congressional District 9 (114th Congress), New York",50000US3609,36,09
731519,"Congressional District 10 (114th Congress), New York",50000US3610,36,10
731365,"Congressional District 11 (114th Congress), New York",50000US3611,36,11
723973,"Congressional District 12 (114th Congress), New York",50000US3612,36,12
759136,"Congressional District 13 (114th Congress), New York",50000US3613,36,13
728916,"Congressional District 14 (114th Congress), New York",50000US3614,36,14
739618,"Congressional District 15 (114th Congress), New York",50000US3615,36,15
737824,"Congressional District 16 (114th Congress), New York",50000US3616,36,16
735374,"Congressional District 17 (114th Congress), New York",50000US3617,36,17
720822,"Congressional District 18 (114th Congress), New York",50000US3618,36,18
710732,"Congressional District 19 (114th Congress), New York",50000US3619,36,19
723568,"Congressional District 20 (114th Congress), New York",50000US3620,36,20
718502,"Congressional District 21 (114th Congress), New York",50000US3621,36,21
711202,"Congressional District 22 (114th Congress), New York",50000US3622,36,22
713070,"Congressional District 23 (114th Congress), New York",50000US3623,36,23
715530,"Congressional District 24 (114th Congress), New York",50000US3624,36,24
722333,"Congressional District 25 (114th Congress), New York",50000US3625,36,25
715616,"Congressional District 26 (114th Congress), New York",50000US3626,36,26
719351,"Congressional District 27 (114th Congress), New York",50000US3627,36,27
727194,"Congressional District 1 (114th Congress), Ohio",50000US3901,39,01
724744,"Congressional District 2 (114th Congress), Ohio",50000US3902,39,02
745041,"Congressional District 3 (114th Congress), Ohio",50000US3903,39,03
714052,"Congressional District 4 (114th Congress), Ohio",50000US3904,39,04
723565,"Congressional District 5 (114th Congress), Ohio",50000US3905,39,05
711496,"Congressional District 6 (114th Congress), Ohio",50000US3906,39,06
724257,"Congressional District 7 (114th Congress), Ohio",50000US3907,39,07
723955,"Congressional District 8 (114th Congress), Ohio",50000US3908,39,08
714244,"Congressional District 9 (114th Congress), Ohio",50000US3909,39,09
722051,"Congressional District 10 (114th Congress), Ohio",50000US3910,39,10
705697,"Congressional District 11 (114th Congress), Ohio",50000US3911,39,11
747035,"Congressional District 12 (114th Congress), Ohio",50000US3912,39,12
713291,"Congressional District 13 (114th Congress), Ohio",50000US3913,39,13
719406,"Congressional District 14 (114th Congress), Ohio",50000US3914,39,14
737572,"Congressional District 15 (114th Congress), Ohio",50000US3915,39,15
722377,"Congressional District 16 (114th Congress), Ohio",50000US3916,39,16
773811,"Congressional District 1 (114th Congress), Oklahoma",50000US4001,40,01
749607,"Congressional District 2 (114th Congress), Oklahoma",50000US4002,40,02
767882,"Congressional District 3 (114th Congress), Oklahoma",50000US4003,40,03
773971,"Congressional District 4 (114th Congress), Oklahoma",50000US4004,40,04
784462,"Congressional District 5 (114th Congress), Oklahoma",50000US4005,40,05
797650,"Congressional District 1 (114th Congress), Oregon",50000US4101,41,01
